SEX		AGE		HEIGHT		WEIGHT
1		61		69		260
1		43		70		190
1		68		75		200
1		73		71		172
1		73		71		190
1		21		68		200
1		59		68		175
2		67		63		169
2		29		68		190
2		82		64		150
1		69		71		180
1		59		67		140
1		49		67		169
2		44		61		150
2		61		65		116
2		51		62		135
2		23		65		125
2		71		62		170
1		32		70		200
2		40		66		235
1		67		64		185
1		68		71		207
2		40		64		128
2		63		66		185
1		48		68		180
2		30		66		125
2		48		60		160
2		32		64		130
2		24		62		170
2		49		70		185
1		76		73		218
2		51		66		120
1		52		66		207
1		48		70		165
2		85		62		155
2		42		60		170
1		85		68		160
1		53		65		160
1		78		72		200
1		75		71		175
2		67		65		175
2		57		62		130
1		36		74		270
1		46		67		145
1		45		71		178
2		85		61		123
2		78		63		148
2		70		63		156
1		27		75		250
2		57		67		160
1		29		74		220
2		28		64		135
1		60		73		215
1		35		66		140
2		85		62		105
1		20		72		200
2		18		61		120
1		71		69		195
1		52		74		185
1		51		70		190
1		65		70		265
1		66		63		168
2		85		61		169
1		65		63		160
1		68		73		180
2		55		66		249
2		29		62		187
2		29		65		175
1		29		72		270
1		83		69		168
2		59		65		143
1		73		68		210
1		36		71		187
1		74		70		238
1		68		71		230
1		28		69		220
1		66		67		200
1		48		72		250
1		42		71		280
2		64		66		194
1		45		71		235
2		58		68		190
1		66		70		165
1		82		72		235
2		71		62		150
1		48		70		215
1		44		73		230
1		64		71		255
1		60		70		208
2		18		68		135
2		34		64		138
2		74		61		120
2		31		67		208
2		68		63		178
1		45		69		205
1		72		75		270
2		53		62		258
2		23		62		122
1		72		70		130
1		35		65		180
2		61		61		127
1		62		74		200
2		63		59		180
2		59		60		120
2		35		62		195
2		71		69		110
1		48		69		162
2		33		62		150
2		62		62		150
1		25		74		145
1		68		73		199
1		27		72		290
2		60		60		110
1		43		68		178
2		72		65		172
2		82		62		160
2		58		68		185
2		44		62		156
2		23		67		110
1		46		66		200
2		50		62		187
2		34		63		115
2		74		63		165
1		61		73		198
2		59		63		135
2		28		64		190
1		74		67		162
1		73		72		225
2		27		61		143
1		38		71		185
2		42		64		175
2		35		64		162
2		85		63		180
2		83		68		122
1		48		71		253
2		67		65		175
1		81		72		230
1		60		65		170
1		72		70		202
1		39		71		182
2		81		63		122
2		85		66		130
2		52		68		234
1		33		74		147
1		49		67		155
1		76		69		200
2		63		66		164
2		66		65		175
2		60		62		144
2		28		68		265
2		71		66		170
1		18		70		230
2		61		66		135
2		35		62		145
1		62		72		250
2		31		64		180
1		82		69		170
2		26		70		270
2		66		65		210
1		75		71		270
1		64		65		148
1		39		67		150
2		43		67		220
2		77		64		176
2		31		65		140
2		27		62		130
1		63		69		160
2		70		64		198
1		69		68		230
2		62		64		230
1		81		70		205
2		59		64		215
1		47		65		200
2		30		66		240
1		46		69		185
1		45		67		152
2		73		64		150
1		47		70		192
2		62		64		190
1		37		70		225
2		23		64		128
1		81		68		195
1		36		68		200
2		26		62		150
1		45		73		230
2		31		64		183
1		85		70		255
2		67		67		182
1		57		70		270
2		67		64		150
1		67		66		290
2		73		61		220
2		22		63		113
1		65		64		155
1		60		70		190
1		39		72		170
2		33		61		126
1		53		67		200
1		59		72		208
2		34		65		175
1		56		73		230
2		44		62		155
2		37		66		210
2		64		64		157
2		59		67		220
1		18		66		247
1		47		69		240
1		32		70		150
1		52		66		181
1		20		74		230
2		77		65		140
1		68		72		235
1		47		70		205
1		34		73		240
1		46		73		165
2		59		66		200
2		57		65		255
1		78		72		180
1		65		66		163
2		45		67		135
2		27		64		220
1		70		68		240
2		58		68		272
2		53		60		145
2		61		65		148
2		30		69		150
2		40		63		211
1		25		74		190
2		23		61		150
2		31		64		115
2		22		66		157
2		84		70		150
2		75		64		175
2		60		68		156
2		83		60		179
2		45		65		185
1		59		67		160
1		85		65		180
2		79		67		200
1		33		73		268
1		34		66		140
2		28		63		144
2		30		64		170
1		73		70		220
1		85		72		189
2		54		66		185
1		41		64		180
1		81		69		140
1		72		67		170
2		60		63		178
2		45		65		185
1		28		67		170
2		21		64		120
2		72		65		180
1		47		74		225
2		42		66		175
1		24		67		155
1		31		74		170
2		74		63		150
2		40		64		118
2		61		62		127
1		59		73		230
2		55		60		165
1		65		70		190
2		74		61		184
1		50		70		175
1		60		71		230
2		39		62		170
1		41		74		180
2		49		61		130
1		62		68		193
1		73		72		220
2		65		59		126
2		41		65		185
1		48		68		130
1		31		69		180
1		43		74		175
2		41		65		170
1		59		70		200
1		71		69		218
2		66		66		140
2		63		63		104
1		59		75		272
2		82		66		160
2		53		64		160
2		59		70		155
2		64		66		210
1		60		68		172
1		70		67		185
2		85		61		111
1		21		74		160
2		68		67		230
1		66		69		207
1		49		70		230
2		78		66		142
2		67		62		130
1		47		70		165
1		37		67		150
2		66		59		148
2		85		62		150
2		68		65		160
1		57		71		210
1		23		71		240
2		72		66		135
2		41		62		160
2		58		65		140
1		33		72		172
2		65		64		135
2		85		62		130
2		32		63		185
2		25		66		235
1		81		76		200
2		49		61		260
2		33		62		153
2		35		68		170
1		26		67		190
2		47		67		270
2		77		62		135
2		34		69		125
2		79		67		180
2		76		60		113
2		33		62		265
2		55		63		190
1		74		72		250
2		28		64		209
1		60		74		290
2		33		67		120
2		18		67		163
2		65		63		250
1		59		65		183
2		51		68		130
1		56		70		240
2		70		62		160
1		70		72		220
1		60		67		185
2		48		61		148
1		75		69		215
1		51		71		160
1		28		73		210
1		47		65		200
1		72		70		172
1		64		74		240
2		46		61		135
1		66		65		184
1		41		70		170
2		68		67		190
1		63		66		145
2		26		64		140
2		19		62		130
2		68		63		110
2		63		61		145
2		68		62		130
1		55		64		145
2		60		62		160
2		35		65		250
1		84		73		210
2		65		65		180
1		74		66		184
1		53		74		205
2		70		64		158
2		21		64		138
2		72		61		163
1		56		71		265
2		71		62		170
1		50		70		290
1		26		67		165
1		68		68		145
1		70		69		204
2		62		65		162
2		71		63		150
1		36		65		160
2		30		64		130
2		43		65		148
2		34		63		135
1		49		68		160
2		34		64		230
1		64		63		168
1		26		71		227
2		62		67		143
2		39		59		210
1		46		70		155
2		67		66		194
2		62		67		155
1		75		66		245
1		80		70		175
2		62		61		185
2		61		66		128
2		23		65		160
2		74		65		150
1		25		76		271
2		61		63		184
2		75		62		144
1		80		70		231
1		39		70		210
1		62		66		195
2		45		64		125
1		44		66		180
2		55		66		197
1		85		66		149
2		59		66		159
2		83		63		106
2		48		63		110
2		47		62		140
1		40		67		160
2		39		67		160
1		48		71		182
2		67		63		158
2		76		60		158
1		61		69		220
2		51		68		120
1		70		68		200
2		71		63		160
2		67		61		130
2		67		62		180
2		34		64		142
1		55		66		176
2		62		67		120
1		65		71		193
2		67		64		230
2		38		68		130
1		36		68		215
2		24		68		150
2		64		65		160
1		34		70		270
2		64		65		105
2		81		60		130
1		62		73		180
2		64		64		109
1		53		70		180
1		54		67		185
2		73		64		113
2		70		64		130
2		56		61		167
1		68		76		230
2		19		66		130
1		31		73		185
2		60		66		167
2		85		67		180
2		82		64		180
2		37		68		235
1		72		68		217
2		60		63		232
2		27		68		110
1		49		71		240
1		22		74		140
2		39		62		180
1		33		70		143
2		82		63		138
1		57		71		170
2		85		60		136
2		66		67		177
1		75		71		210
1		57		67		130
2		30		60		155
2		79		65		165
2		81		62		150
1		64		70		182
1		35		71		220
1		29		66		225
1		75		69		170
1		64		68		165
1		60		68		220
1		64		67		195
1		49		73		215
2		23		66		120
2		71		69		130
1		72		65		220
1		40		71		170
2		65		66		230
2		59		65		139
2		29		67		147
1		64		73		230
1		25		68		185
2		80		67		264
2		64		64		125
1		45		65		220
1		27		69		145
2		62		62		125
1		40		66		190
1		40		69		230
2		33		65		155
2		82		61		180
2		26		63		220
2		84		63		130
1		64		74		195
2		68		61		150
2		63		61		235
2		75		62		161
2		30		63		189
2		51		62		180
2		74		62		133
2		36		59		180
2		70		69		170
2		56		64		179
2		56		62		120
2		28		64		150
2		48		70		140
2		35		65		165
1		85		70		220
1		56		69		155
1		85		71		160
2		54		66		230
2		60		69		245
1		39		67		190
1		27		70		223
2		74		62		119
2		70		65		144
2		85		66		137
1		63		71		196
1		57		70		202
2		73		63		170
2		77		65		166
2		80		61		238
2		65		64		125
2		27		62		130
1		82		70		205
1		27		69		170
2		27		62		173
2		64		62		137
1		59		74		165
1		65		65		126
1		48		66		140
2		63		66		170
2		52		64		162
1		61		71		185
2		30		65		130
2		34		67		165
2		53		63		122
2		60		63		166
2		47		64		209
2		34		67		160
2		61		62		125
2		67		63		115
1		42		70		225
1		58		73		230
1		55		70		230
2		24		68		135
2		75		60		120
2		67		66		165
2		61		65		200
1		37		70		190
2		67		64		161
1		27		68		150
1		62		71		250
1		44		72		215
2		83		66		156
2		38		68		212
2		63		62		150
1		75		69		197
2		85		64		120
2		62		69		235
2		42		65		120
2		19		64		115
2		85		63		160
1		74		70		220
1		26		72		240
1		66		68		200
2		39		67		156
1		28		76		175
1		58		71		260
1		36		73		180
1		76		72		198
2		42		62		155
2		39		67		178
1		78		75		225
1		52		71		210
1		61		68		180
2		79		61		138
1		49		73		255
2		80		62		126
1		37		66		240
2		71		63		115
1		36		66		195
2		43		66		130
2		71		67		223
1		44		69		165
2		65		67		130
2		34		65		156
1		72		72		215
