date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:15	27385/27385	U-----	200	untouched ('OK')	text/html	etag:%22cb95e8bc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html	(from )
12:57:15	103/103	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Feb%202025%2005:57:16%20GMT	https://www.medicine.mcgill.ca/robots.txt		(from )
12:57:22	14407/14407	U-----	200	untouched ('OK')	text/html	etag:%2292ea1dbc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/main.html	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/main.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
12:57:22	1116763/1116763	---M--	200	added ('OK')	application/pdf	etag:%224a57b4a2a64bd41:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/BasicInfo.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/BasicInfo.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
12:57:23	285044/285044	U-----	200	untouched ('')	image/jpeg	etag:%22499d69dc5910c51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/img/homepage/idea4i.jpg	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/img/homepage/idea4i.jpg	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
12:57:23	12752/12752	U-----	200	untouched ('OK')	text/html	etag:%22fd222fbb1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/BasicInfo.html	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/BasicInfo.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
12:57:23	33541/33541	U-----	200	untouched ('OK')	text/html	etag:%229947dabc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/FAQ.html	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/FAQ.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
12:57:24	38912/38912	---M--	200	added ('OK')	application/pdf	etag:%22b1dbaf2aa15d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Hosmer.review.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Hosmer.review.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
12:57:25	110083/110083	---M--	200	added ('OK')	application/pdf	etag:%2250295c34f910d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Woodworth.review.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Woodworth.review.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
12:57:26	46080/46080	---M--	200	added ('OK')	application/pdf	etag:%22fb578058ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Gelman.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Gelman.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
