date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:06	27385/27385	---M-Z	200	added ('OK')	text/html	etag:%22cb95e8bc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html	(from )
00:20:07	103/103	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202025%2017:20:07%20GMT	https://www.medicine.mcgill.ca/robots.txt		(from )
00:20:09	14407/14407	---M-Z	200	added ('OK')	text/html	etag:%2292ea1dbc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/main.html	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/main.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:10	12752/12752	---M-Z	200	added ('OK')	text/html	etag:%22fd222fbb1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/BasicInfo.html	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/BasicInfo.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:11	33541/33541	---M-Z	200	added ('OK')	text/html	etag:%229947dabc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/FAQ.html	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/FAQ.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:13	285044/285044	---M--	200	added ('OK')	image/jpeg	etag:%22499d69dc5910c51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/img/homepage/idea4i.jpg	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/img/homepage/idea4i.jpg	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:16	38912/38912	---M--	200	added ('OK')	application/pdf	etag:%22b1dbaf2aa15d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Hosmer.review.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Hosmer.review.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:20	110083/110083	---M--	200	added ('OK')	application/pdf	etag:%2250295c34f910d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Woodworth.review.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Woodworth.review.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:20	46080/46080	---M--	200	added ('OK')	application/pdf	etag:%22fb578058ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Gelman.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Gelman.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:30	72704/72704	---M--	200	added ('OK')	application/pdf	etag:%22ceea3d56ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/probability.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/probability.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:30	292744/292744	---M--	200	added ('OK')	application/pdf	etag:%22c4417cfa35cd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/MeanProp.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/MeanProp.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:33	47169/47169	---M--	200	added ('OK')	application/pdf	etag:%22968ced4d375bd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/BASP2015.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/BASP2015.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:34	1116763/1116763	---M--	200	added ('OK')	application/pdf	etag:%224a57b4a2a64bd41:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/BasicInfo.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/BasicInfo.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:37	354958/354958	---M--	200	added ('OK')	application/pdf	etag:%2254fac756ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Proportions.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Proportions.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:37	388953/388953	---M--	200	added ('OK')	application/pdf	etag:%2246462055ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Means.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Means.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:38	1613/1613	---M-Z	200	added ('OK')	text/plain	etag:%2238faa53ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/post.normal.mean.txt	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/post.normal.mean.txt	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:42	1026/1026	---M-Z	200	added ('OK')	text/plain	etag:%2286ee8754ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/regression.with.ci.txt	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/regression.with.ci.txt	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:43	262/262	---M-Z	200	added ('OK')	text/plain	etag:%223dd7b853ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/dmf.data.txt	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/dmf.data.txt	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:45	397136/397136	---M--	200	added ('OK')	application/pdf	etag:%22adaffc50375bd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/R621.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/R621.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:46	1337/1337	---M-Z	200	added ('OK')	text/plain	etag:%228334c56ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/multiple.regression.with.ci.txt	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/multiple.regression.with.ci.txt	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:47	33545/33545	---M-Z	200	added ('OK')	text/plain	etag:%22fd2e5154ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/HeartData.txt	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/HeartData.txt	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:48	621183/621183	---M--	200	added ('OK')	application/pdf	etag:%22e53164e375bd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Bayes2.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Bayes2.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:50	643/643	---M-Z	200	added ('OK')	text/plain	etag:%22a3128f54ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/smoking.txt	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/smoking.txt	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:51	488373/488373	---M--	200	added ('OK')	application/pdf	etag:%224cf8fbf735cd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/regression.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/regression.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:54	244246/244246	---M--	200	added ('OK')	application/pdf	etag:%22acd39df835cd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/dummy.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/dummy.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:54	1345/1345	---M-Z	200	added ('OK')	text/plain	etag:%229e2cb056ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/hr.txt	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/hr.txt	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:56	519/519	---M-Z	200	added ('OK')	text/plain	etag:%22f942a53ec10d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/fat.txt	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/fat.txt	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:20:58	633385/633385	---M--	200	added ('OK')	application/pdf	etag:%227cfb72f835cd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/multiple.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/multiple.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:21:03	431158/431158	---M--	200	added ('OK')	application/pdf	etag:%22ecf3d6f835cd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/confounding.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/confounding.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:21:06	364732/364732	---M--	200	added ('OK')	application/pdf	etag:%221c7afbfb35cd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/fit.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/fit.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:21:07	321562/321562	---M--	200	added ('OK')	application/pdf	etag:%222a1781b81bed41:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Bayesreg.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/Bayesreg.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:21:10	35077/35077	---M--	200	added ('OK')	application/pdf	etag:%22388ca251baf6c61:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/aicbic.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/aicbic.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:21:11	208767/208767	---M--	200	added ('OK')	application/pdf	etag:%22646411f835cd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/select.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/select.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:21:11	36846/36846	---M--	200	added ('OK')	image/jpeg	etag:%22902c944e375bd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/vacation2.jpg	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/vacation2.jpg	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:21:14	102884/102884	---M--	200	added ('OK')	image/jpeg	etag:%2248dfe25fa02bd01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/freqfrank.jpg	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/freqfrank.jpg	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:21:15	9353/9353	---M-Z	200	added ('OK')	text/plain	etag:%22aa8b69828115d01:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/crp.txt	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/crp.txt	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
00:21:17	238104/238104	---M--	200	added ('OK')	application/pdf	etag:%2248ae18af44d8d41:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/hier.pdf	G:/VAULT16/DATA/web/epib621/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/hier.pdf	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/CourseOutline.html)
