 Block   Height  Frequency    RestHR  HR
 2       0       0             60      75
 2       0       1             63      84
 2       1       2             69      135
 2       1       0             69      108
 2       0       2             69      93
 4       1       1             96      141
 4       1       0             87      120
 4       0       0             90      99
 4       1       2             93      153
 4       0       2             87      129
 3       1       1             72      99
 3       0       1             69      93
 3       1       0             78      93
 3       0       2             72      99
 3       1       2             78      129
 5       0       0             87      93
 1       1       1             87      111
 6       1       2             81      120
 5       0       2             75      123
 1       0       1             81      96
 6       1       0             84      99
 1       1       0             84      99
 5       1       1             90      129
 6       0       1             75      90
 1       0       0             78      87
 6       0       0             84      84
 5       0       1             90      108
 1       0       2             78      96
 6       1       1             84      90
 5       1       2             90      147
