No.,Species,LBL,LBW,LBAR,LBC,PL,CTL,CLL
1,Flower A,10,3,3.33,0.56,0.7,0.2,0.32
2,Flower A,9,2,4.5,0.47,0.5,0.23,0.35
3,Flower A,9.5,2.5,3.8,0.52,0.55,0.25,0.35
4,Flower A,10.5,3,3.5,0.54,0.72,0.2,0.3
5,Flower A,11,3.5,3.14,0.57,0.75,0.21,0.32
6,Flower A,12,3.5,3.43,0.55,0.8,0.2,0.3
7,Flower A,12,4,3,0.59,0.8,0.23,0.38
8,Flower A,9,3,3,0.59,0.5,0.25,0.42
9,Flower A,10.5,3.5,3,0.59,0.75,0.22,0.4
10,Flower A,11,3.8,2.89,0.6,0.75,0.24,0.45
11,Flower A,12,4,3,0.59,0.75,0.22,0.4
12,Flower A,9.5,3,3.17,0.57,0.55,0.21,0.38
13,Flower A,9,2,4.5,0.47,0.5,0.2,0.3
14,Flower A,10,2.5,4,0.5,0.6,0.25,0.45
15,Flower A,11,3.5,3.14,0.57,0.74,0.25,0.45
16,Flower A,12,4,3,0.59,0.8,0.24,0.42
17,Flower A,11.6,3.7,3.14,0.58,0.75,0.22,0.41
18,Flower A,10,3.1,3.23,0.57,0.7,0.21,0.4
19,Flower A,10.4,3.5,2.97,0.59,0.72,0.23,0.4
20,Flower A,9,2.5,3.6,0.53,0.5,0.22,0.38
21,Flower A,10.7,3.5,3.06,0.58,0.65,0.21,0.35
22,Flower A,11,3.5,3.14,0.57,0.72,0.24,0.45
23,Flower A,11.5,3.8,3.03,0.59,0.75,0.22,0.4
24,Flower A,12,4,3,0.59,0.8,0.24,0.43
25,Flower A,10.6,3.2,3.31,0.56,0.68,0.21,0.38
26,Flower A,11.5,3.8,3.03,0.59,0.77,0.25,0.45
1,Flower B,11,3.2,3.44,0.55,0.6,0.1,0.8
2,Flower B,10,3,3.33,0.56,0.5,0.15,0.9
3,Flower B,10.5,3,3.5,0.54,0.5,0.2,1.1
4,Flower B,12,3.1,3.87,0.51,0.7,0.2,1.2
5,Flower B,12,3.1,3.87,0.51,0.65,0.12,0.9
6,Flower B,14,3.4,4.12,0.49,0.7,0.15,0.9
7,Flower B,14,3.2,4.38,0.48,0.7,0.18,1
8,Flower B,15,3.5,4.29,0.48,0.75,0.16,0.94
9,Flower B,15,3.4,4.41,0.47,0.8,0.19,1.2
10,Flower B,15,3.4,4.41,0.47,0.8,0.1,0.8
11,Flower B,13,3.2,4.06,0.5,0.6,0.12,0.85
12,Flower B,13,3.2,4.06,0.5,0.6,0.18,1
13,Flower B,12.5,3.1,4.03,0.5,0.56,0.16,0.95
14,Flower B,12,3.2,3.75,0.52,0.6,0.15,0.9
15,Flower B,11.5,3,3.83,0.52,0.55,0.19,1.2
16,Flower B,11.7,3.2,3.66,0.53,0.55,0.2,1.2
17,Flower B,13,3,4.33,0.48,0.6,0.2,1.2
18,Flower B,13.5,3.4,3.97,0.5,0.6,0.2,1.1
19,Flower B,14.5,3.5,4.14,0.49,0.72,0.17,1
20,Flower B,15,3.5,4.29,0.48,0.8,0.16,0.9
